代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	
000001	平安银行	-0.50	10.04	-0.05	10.03	10.04	318898	4404	0.00	          0.27	
000002	万  科Ａ	--  	24.43	--  	--  	--  	0	0	--  	          0.00	
000004	国农科技	1.00	32.25	0.32	32.24	32.25	14409	146	-0.03	          1.72	
000005	世纪星源	2.06	7.92	0.16	7.92	7.93	403849	4625	-0.12	          4.42	
000006	深振业Ａ	-1.59	8.65	-0.14	8.64	8.65	314357	4194	0.23	          2.34	
000007	全新好	--  	23.79	--  	--  	--  	0	0	--  	          0.00	
000008	神州高铁	-0.11	8.69	-0.01	8.68	8.69	102081	2009	0.11	          0.68	
000009	中国宝安	-0.15	12.94	-0.02	12.94	12.95	529385	6064	0.07	          3.55	
000010	深华新	-2.06	9.50	-0.20	9.50	9.51	229971	2501	0.10	          5.64	
000011	深物业A	-1.86	16.39	-0.31	16.39	16.40	377237	5872	0.00	         21.45	
000012	南  玻Ａ	9.99	11.78	1.07	11.78	--  	276799	2334	0.00	          2.13	
000014	沙河股份	-1.76	20.04	-0.36	20.04	20.05	94246	687	0.00	          4.67	
000016	深康佳Ａ	10.00	5.17	0.47	5.17	--  	1031846	1701	0.00	          8.60	
000017	深中华A	-5.05	14.11	-0.75	14.10	14.11	466921	6329	0.07	         15.41	
000018	神州长城	-3.33	52.20	-1.80	52.19	52.20	131265	2615	0.03	         13.16	
000019	深深宝Ａ	0.05	21.40	0.01	21.40	21.41	457286	6710	0.46	         18.13	
000020	深华发Ａ	10.00	22.00	2.00	22.00	--  	1710	1	0.00	          0.09	
000021	深科技	3.91	9.30	0.35	9.29	9.30	451959	9231	0.21	          3.07	
000022	深赤湾Ａ	0.05	19.00	0.01	19.00	19.01	244409	2883	0.15	          5.26	
000023	深天地Ａ	--  	30.53	--  	--  	--  	0	0	--  	          0.00	
000025	特  力Ａ	-1.18	73.88	-0.88	73.87	73.88	56759	1107	-0.02	          3.17	
000026	飞亚达Ａ	2.80	13.20	0.36	13.19	13.20	143179	5567	2.56	          4.60	
000027	深圳能源	0.98	7.18	0.07	7.18	7.19	168440	2807	0.13	          1.17	
000028	国药一致	--  	66.15	--  	--  	--  	0	0	--  	          0.00	
000029	深深房Ａ	-2.49	10.98	-0.28	10.97	10.98	246888	3057	-0.09	          2.77	
000030	富奥股份	-1.29	7.68	-0.10	7.68	7.69	83439	1247	0.00	          1.49	
000031	中粮地产	0.46	11.01	0.05	11.01	11.02	409684	5306	-0.09	          2.26	
000032	深桑达Ａ	1.86	21.96	0.40	21.96	21.97	157364	1152	0.68	          6.76	
000034	深信泰丰	--  	27.95	--  	--  	--  	0	0	--  	          0.00	
000035	中国天楹	-3.04	13.40	-0.42	13.40	13.41	324115	3679	0.00	          8.03	
000036	华联控股	6.06	8.22	0.47	8.21	8.22	411930	1791	-0.12	          3.67	
000037	深南电Ａ	5.44	11.43	0.59	11.43	11.44	279287	4323	0.00	          8.24	
000038	深大通	--  	56.90	--  	--  	--  	0	0	--  	          0.00	
000039	中集集团	0.07	14.64	0.01	14.63	14.64	134451	3050	0.13	          1.07	
000040	宝安地产	-1.42	11.09	-0.16	11.09	11.10	106342	995	-0.09	          2.29	
000042	中洲控股	-1.26	16.49	-0.21	16.49	16.50	33200	330	0.06	          0.69	
000043	中航地产	-2.02	8.72	-0.18	8.71	8.72	208989	5378	0.34	          3.13	
000045	深纺织Ａ	1.44	12.69	0.18	12.69	12.70	197563	3446	0.63	          4.87	
000046	泛海控股	0.80	10.11	0.08	10.11	10.12	94404	816	0.00	          0.21	
000048	康达尔	-0.85	37.20	-0.32	37.20	37.22	61227	1233	0.00	          1.59	
000049	德赛电池	-0.12	40.35	-0.05	40.35	40.37	26379	303	0.22	          1.29	
000050	深天马Ａ	-2.48	17.28	-0.44	17.28	17.29	331353	4861	0.05	          3.51	
000055	方大集团	-2.42	11.71	-0.29	11.70	11.71	80420	1637	-0.17	          1.91	
